epoch,learning_rate,epoch_time_sec,train_loss,train_accuracy,train_f1,train_sensitivity,train_specificity,train_auc,train_pr_auc,val_loss,val_accuracy,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_mcc,val_auc,val_pr_auc
1,0.0001,172.8557207584381,0.5870915828267917,0.8263995891114535,0.8160310943056723,0.8313019493417442,0.9164658017966145,0.9437797111283729,0.880422818599731,0.37155207199386403,0.9219409282700421,0.9156135660005629,0.9109041683497798,0.9156135660005629,0.9618471165858825,0.8783883865626207,0.9846644384322086,0.965033700951922
2,0.0001,70.84650301933289,0.368700009311966,0.9131997945557268,0.9050055300127179,0.9095238543862826,0.9566533844116863,0.9853447538358004,0.9675924884538031,0.3303557176630205,0.9430379746835443,0.9423570065984926,0.9349348888377209,0.9423570065984926,0.9733076405421272,0.9118542169630941,0.9897340730786676,0.9749635279729271
3,0.0001,74.2297306060791,0.2958279009439667,0.96045197740113,0.9555212324825311,0.9565634639122903,0.9801094144952645,0.9940700758905333,0.9864629894399743,0.29943179229140787,0.9535864978902954,0.9530412483972855,0.9468211094640372,0.9530412483972855,0.9783422058217477,0.92801174477791,0.9948639660032502,0.9885186476251556
4,0.0001,71.4785509109497,0.2631203485686288,0.9707241910631741,0.9673569255704253,0.9715512927233743,0.9863093945508435,0.997858724846551,0.9950998448992868,0.32406016027374107,0.9472573839662447,0.9278590862182193,0.9358470007209809,0.9278590862182193,0.9709369691341178,0.9171105756305252,0.9896767148228852,0.9762281028071845
5,0.0001,75.14960479736328,0.2651422441648592,0.9702105803800719,0.9666562733901096,0.968805905651079,0.9852743579165594,0.9968309609819833,0.9920946025622023,0.3241024390806126,0.9514767932489452,0.9592152171873535,0.9461942379062313,0.9592152171873535,0.9788341236447828,0.9268137465865,0.9946829644714152,0.9875600199627229
6,0.0001,69.55118489265442,0.23589934019106867,0.9845916795069337,0.9828137064141055,0.9839583965613811,0.9923952558963287,0.9979784639596443,0.9956649621980374,0.2778780318262205,0.9641350210970464,0.9553585389498703,0.9574184621369358,0.9553585389498703,0.9815736567290939,0.943540543613143,0.9947501902260848,0.9886227307092558
7,0.0001,74.23647952079773,0.2198867133842962,0.9881869542886492,0.9871577150077663,0.989057246534318,0.9943250437173763,0.9996369771044565,0.9991643367823128,0.29419469166908585,0.9620253164556962,0.9457571066704192,0.9532114443272723,0.9457571066704192,0.9794276241416527,0.9406684762481038,0.9889859376210417,0.9787697408584832
8,0.0001,72.78060221672058,0.21559684983448427,0.9897277863379559,0.9882401673022158,0.9878032058274558,0.9947651075671099,0.9991808227059588,0.9985222978187848,0.27943142607242244,0.9683544303797469,0.9660779622853927,0.9628666312896902,0.9660779622853927,0.9853080251364091,0.9506643627381779,0.9949295233897738,0.9827912091008127
9,0.0001,68.9115219116211,0.2099714590514937,0.9933230611196713,0.9923962024695853,0.9919081501430327,0.9964579679151643,0.9996557616893943,0.9990598744197996,0.28755407758402923,0.9641350210970464,0.9577891922319166,0.9576555776037048,0.9577891922319166,0.9822670746100637,0.9437255350965935,0.9948148912054928,0.9879390830994357
10,0.0001,67.75270986557007,0.20779946425754595,0.9928094504365691,0.9920425080171009,0.9921444800428167,0.9963157537372833,0.9995040015372911,0.9984002341461746,0.28556968718138426,0.959915611814346,0.9492197516965319,0.9506611574309565,0.9492197516965319,0.980473820505957,0.936998751183823,0.9953843037261835,0.988812341103433
11,5e-05,68.44501686096191,0.19903761900016204,0.997431946584489,0.9971976163035631,0.9970018465393874,0.9985848573496617,0.9991926279004097,0.9981096482824903,0.2770060163761493,0.9641350210970464,0.956433530349939,0.9576326496260644,0.956433530349939,0.9817127960687944,0.9435128140044978,0.9964626315864634,0.9919115172791608
12,5e-05,68.48806381225586,0.19819868942622226,0.9938366718027735,0.9933746349434985,0.9944493568852343,0.9970673263809857,0.9999527100642971,0.9998872303723085,0.2751384623946017,0.9641350210970464,0.9616919973731118,0.9576585809217777,0.9616919973731118,0.9835159104410686,0.9440776533715834,0.9975534281542876,0.9934700962276942
13,5e-05,66.82580900192261,0.19251539284563335,0.9979455572675912,0.9977646960134612,0.9985491476242293,0.9991152399911524,0.9998945066701097,0.9996491351688594,0.2726908604052499,0.9662447257383966,0.9575515214060107,0.9591397895476098,0.9575515214060107,0.9833011318886683,0.9470958716036741,0.9971857021603845,0.993020996043577
14,2.5e-05,68.42906427383423,0.1919142116659044,0.9989727786337956,0.9988797111484815,0.9988797111484815,0.9994545557824832,0.9999890809650546,0.9999720911141804,0.2765002593963961,0.9641350210970464,0.9588641836319854,0.9572509195621112,0.9588641836319854,0.9829604924910332,0.9438600481802438,0.9965120842568406,0.9917455042406914
15,2.5e-05,70.11225247383118,0.19312094116768105,0.9979455572675912,0.9975527530642885,0.99736455963333,0.9989639990005358,0.9999927060811998,0.9999791134908711,0.2694644181034233,0.9641350210970464,0.956433530349939,0.9573070052103251,0.956433530349939,0.981989935339429,0.9435459244605265,0.9964209411974064,0.9920395716670122
